img1,img2,distance
..\image_labeling\data\labeled\intact\frames_0adf10ea7e87_img2.jpg,..\image_labeling\data\labeled\intact\frames_0adf10ea7e87_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_0adf10ea7e87_img2.jpg,..\image_labeling\data\labeled\intact\raw_media_0adf10ea7e87_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_0bc1b46a227f_img3.jpg,..\image_labeling\data\labeled\intact\frames_4063b5b634db_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_0d6b98ef35d4_img2.jpg,..\image_labeling\data\labeled\intact\frames_6c1b51c0b3b7_img1.jpg,4
..\image_labeling\data\labeled\intact\frames_0d6b98ef35d4_img3.jpg,..\image_labeling\data\labeled\intact\frames_6c1b51c0b3b7_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_0d6b98ef35d4_img3.jpg,..\image_labeling\data\labeled\intact\frames_6c1b51c0b3b7_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_0e185f27af6e_img1.jpg,..\image_labeling\data\labeled\intact\frames_0e185f27af6e_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_0e185f27af6e_img1.jpg,..\image_labeling\data\labeled\intact\frames_0e185f27af6e_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_0e185f27af6e_img2.jpg,..\image_labeling\data\labeled\intact\frames_0e185f27af6e_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img1.jpg,..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img1.jpg,..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img1.jpg,..\image_labeling\data\labeled\intact\frames_b5e4509d64c2_img1.jpg,4
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img1.jpg,..\image_labeling\data\labeled\intact\frames_b5e4509d64c2_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img1.jpg,..\image_labeling\data\labeled\intact\frames_b5e4509d64c2_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img2.jpg,..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img2.jpg,..\image_labeling\data\labeled\intact\frames_b5e4509d64c2_img1.jpg,2
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img2.jpg,..\image_labeling\data\labeled\intact\frames_b5e4509d64c2_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img2.jpg,..\image_labeling\data\labeled\intact\frames_b5e4509d64c2_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_0ea5f9deb418_img3.jpg,..\image_labeling\data\labeled\intact\frames_b5e4509d64c2_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_0ec51809a96b_img2.jpg,..\image_labeling\data\labeled\intact\frames_0ec51809a96b_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_12d6014c4012_img1.jpg,..\image_labeling\data\labeled\intact\frames_b5a52ba0224e_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_13561c8f6068_img1.jpg,..\image_labeling\data\labeled\intact\frames_13561c8f6068_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_13561c8f6068_img1.jpg,..\image_labeling\data\labeled\intact\frames_13561c8f6068_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_13561c8f6068_img2.jpg,..\image_labeling\data\labeled\intact\frames_13561c8f6068_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_141c04256b2b_img2.jpg,..\image_labeling\data\labeled\intact\frames_141c04256b2b_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_160221c475fc_img1.jpg,..\image_labeling\data\labeled\intact\frames_2cdc63c500f2_img1.jpg,0
..\image_labeling\data\labeled\intact\frames_160221c475fc_img1.jpg,..\image_labeling\data\labeled\intact\frames_2cdc63c500f2_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_1768e992ae9d_img3.jpg,..\image_labeling\data\labeled\intact\frames_1d93c5a217a1_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_1768e992ae9d_img3.jpg,..\image_labeling\data\labeled\intact\frames_fe2800b9ff19_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_181a3623ca19_img2.jpg,..\image_labeling\data\labeled\intact\frames_181a3623ca19_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_188cc75dac8e_img1.jpg,..\image_labeling\data\labeled\intact\frames_188cc75dac8e_img2.jpg,0
