img1,img2,distance
..\image_labeling\data\labeled\intact\frames_9a696b180201_img2.jpg,..\image_labeling\data\labeled\intact\frames_9a696b180201_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_9bb8b2dfad6b_img2.jpg,..\image_labeling\data\labeled\intact\frames_9bb8b2dfad6b_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_9cc1cda01ba7_img1.jpg,..\image_labeling\data\labeled\intact\frames_9cc1cda01ba7_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_9d2d533d60ac_img1.jpg,..\image_labeling\data\labeled\intact\frames_9d2d533d60ac_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_9d2e33e49d99_img1.jpg,..\image_labeling\data\labeled\intact\frames_9d2e33e49d99_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_9df9a689a23e_img1.jpg,..\image_labeling\data\labeled\intact\frames_9df9a689a23e_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_9f1def4b8b0c_img1.jpg,..\image_labeling\data\labeled\intact\frames_9f1def4b8b0c_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_9f1def4b8b0c_img1.jpg,..\image_labeling\data\labeled\intact\frames_9f1def4b8b0c_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_9f1def4b8b0c_img2.jpg,..\image_labeling\data\labeled\intact\frames_9f1def4b8b0c_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_a114f3ab3d29_img1.jpg,..\image_labeling\data\labeled\intact\frames_a114f3ab3d29_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img1.jpg,..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img1.jpg,..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img1.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img1.jpg,10
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img1.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img1.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img2.jpg,..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img2.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img1.jpg,8
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img2.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img2.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img3.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img1.jpg,4
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img3.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_a30dc8acd389_img3.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_a42327713762_img2.jpg,..\image_labeling\data\labeled\intact\frames_a42327713762_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_a5cd8a5b62fb_img1.jpg,..\image_labeling\data\labeled\intact\frames_a5cd8a5b62fb_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_a5cd8a5b62fb_img1.jpg,..\image_labeling\data\labeled\intact\frames_a5cd8a5b62fb_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_a5cd8a5b62fb_img2.jpg,..\image_labeling\data\labeled\intact\frames_a5cd8a5b62fb_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_a627b123f339_img1.jpg,..\image_labeling\data\labeled\intact\frames_a627b123f339_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_a627b123f339_img3.jpg,..\image_labeling\data\labeled\intact\frames_fa757baf40d4_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_a70861075b5e_img1.jpg,..\image_labeling\data\labeled\intact\frames_bf37c0d102af_img1.jpg,2
..\image_labeling\data\labeled\intact\frames_a70861075b5e_img2.jpg,..\image_labeling\data\labeled\intact\frames_a70861075b5e_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_a70861075b5e_img2.jpg,..\image_labeling\data\labeled\intact\frames_bf37c0d102af_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_a70861075b5e_img2.jpg,..\image_labeling\data\labeled\intact\frames_bf37c0d102af_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_a70861075b5e_img3.jpg,..\image_labeling\data\labeled\intact\frames_bf37c0d102af_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_a70861075b5e_img3.jpg,..\image_labeling\data\labeled\intact\frames_bf37c0d102af_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_a9f87e08e085_img2.jpg,..\image_labeling\data\labeled\intact\frames_a9f87e08e085_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_a9f87e08e085_img2.jpg,..\image_labeling\data\labeled\intact\frames_dc3f8f63c227_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_a9f87e08e085_img3.jpg,..\image_labeling\data\labeled\intact\frames_dc3f8f63c227_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_ab2ffad03bce_img2.jpg,..\image_labeling\data\labeled\intact\frames_ab2ffad03bce_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_ac1ca76686ce_img1.jpg,..\image_labeling\data\labeled\irrelevant\frames_72b743d1db99_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_acd580fed343_img1.jpg,..\image_labeling\data\labeled\intact\frames_acd580fed343_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_acd580fed343_img1.jpg,..\image_labeling\data\labeled\intact\frames_acd580fed343_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_acd580fed343_img2.jpg,..\image_labeling\data\labeled\intact\frames_acd580fed343_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_ad62c179acfb_img1.jpg,..\image_labeling\data\labeled\intact\frames_ad62c179acfb_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_af9e3f46466e_img2.jpg,..\image_labeling\data\labeled\intact\frames_af9e3f46466e_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_b02e4ccb40fc_img1.jpg,..\image_labeling\data\labeled\intact\frames_b02e4ccb40fc_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_b02e4ccb40fc_img1.jpg,..\image_labeling\data\labeled\intact\frames_b02e4ccb40fc_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_b02e4ccb40fc_img2.jpg,..\image_labeling\data\labeled\intact\frames_b02e4ccb40fc_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img1.jpg,..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img1.jpg,..\image_labeling\data\labeled\intact\frames_fc7540932882_img1.jpg,10
..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img2.jpg,..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img2.jpg,..\image_labeling\data\labeled\intact\frames_fc7540932882_img1.jpg,4
..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img2.jpg,..\image_labeling\data\labeled\intact\frames_fc7540932882_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img2.jpg,..\image_labeling\data\labeled\intact\frames_fc7540932882_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img3.jpg,..\image_labeling\data\labeled\intact\frames_fc7540932882_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_b0bf2f4bec69_img3.jpg,..\image_labeling\data\labeled\intact\frames_fc7540932882_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_b11cde9827d0_img2.jpg,..\image_labeling\data\labeled\intact\frames_b11cde9827d0_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_b2c5ce957e40_img1.jpg,..\image_labeling\data\labeled\intact\frames_b2c5ce957e40_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_b2c5ce957e40_img1.jpg,..\image_labeling\data\labeled\intact\frames_b2c5ce957e40_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_b2c5ce957e40_img2.jpg,..\image_labeling\data\labeled\intact\frames_b2c5ce957e40_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_b39e31834317_img1.jpg,..\image_labeling\data\labeled\intact\frames_b39e31834317_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_b39e31834317_img1.jpg,..\image_labeling\data\labeled\intact\frames_b39e31834317_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_b39e31834317_img2.jpg,..\image_labeling\data\labeled\intact\frames_b39e31834317_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_b42decfc5802_img1.jpg,..\image_labeling\data\labeled\intact\frames_b42decfc5802_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_b42decfc5802_img1.jpg,..\image_labeling\data\labeled\intact\frames_b42decfc5802_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_b42decfc5802_img2.jpg,..\image_labeling\data\labeled\intact\frames_b42decfc5802_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_b503147c385e_img1.jpg,..\image_labeling\data\labeled\intact\frames_b503147c385e_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_b503147c385e_img1.jpg,..\image_labeling\data\labeled\intact\frames_b503147c385e_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_b503147c385e_img2.jpg,..\image_labeling\data\labeled\intact\frames_b503147c385e_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_b5e4509d64c2_img1.jpg,..\image_labeling\data\labeled\intact\frames_b5e4509d64c2_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_b7220e4b1095_img2.jpg,..\image_labeling\data\labeled\intact\frames_b7220e4b1095_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_b80859d69845_img2.jpg,..\image_labeling\data\labeled\intact\frames_b80859d69845_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_b97e15e79c35_img1.jpg,..\image_labeling\data\labeled\intact\frames_b97e15e79c35_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_b97e15e79c35_img1.jpg,..\image_labeling\data\labeled\intact\frames_b97e15e79c35_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_b97e15e79c35_img2.jpg,..\image_labeling\data\labeled\intact\frames_b97e15e79c35_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_b9ecdfcdf572_img1.jpg,..\image_labeling\data\labeled\intact\frames_b9ecdfcdf572_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_bb59c0fb6019_img1.jpg,..\image_labeling\data\labeled\intact\frames_bb59c0fb6019_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_bba39bfa5454_img1.jpg,..\image_labeling\data\labeled\intact\frames_bba39bfa5454_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_bc52de36d8b9_img1.jpg,..\image_labeling\data\labeled\intact\frames_bc52de36d8b9_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_bc52de36d8b9_img1.jpg,..\image_labeling\data\labeled\intact\frames_bc52de36d8b9_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_bc52de36d8b9_img2.jpg,..\image_labeling\data\labeled\intact\frames_bc52de36d8b9_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_bd6ac615aa30_img2.jpg,..\image_labeling\data\labeled\intact\frames_bd6ac615aa30_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_be4e9973bccd_img1.jpg,..\image_labeling\data\labeled\intact\frames_be4e9973bccd_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_bf37c0d102af_img2.jpg,..\image_labeling\data\labeled\intact\frames_bf37c0d102af_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_c10904b86f22_img1.jpg,..\image_labeling\data\labeled\intact\frames_c10904b86f22_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_c28b400e3cc7_img1.jpg,..\image_labeling\data\labeled\intact\frames_c28b400e3cc7_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_c28b400e3cc7_img1.jpg,..\image_labeling\data\labeled\intact\frames_c28b400e3cc7_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_c28b400e3cc7_img2.jpg,..\image_labeling\data\labeled\intact\frames_c28b400e3cc7_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_c3e39148a101_img1.jpg,..\image_labeling\data\labeled\intact\frames_c3e39148a101_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_c3e39148a101_img1.jpg,..\image_labeling\data\labeled\intact\frames_c3e39148a101_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_c3e39148a101_img2.jpg,..\image_labeling\data\labeled\intact\frames_c3e39148a101_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_c4120d002f48_img1.jpg,..\image_labeling\data\labeled\intact\frames_c4120d002f48_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_c4120d002f48_img1.jpg,..\image_labeling\data\labeled\intact\frames_c4120d002f48_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_c4120d002f48_img2.jpg,..\image_labeling\data\labeled\intact\frames_c4120d002f48_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_c4db1371ece6_img1.jpg,..\image_labeling\data\labeled\intact\frames_c4db1371ece6_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_c623d20382e2_img2.jpg,..\image_labeling\data\labeled\intact\frames_c623d20382e2_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_c9ce5ad95a96_img1.jpg,..\image_labeling\data\labeled\intact\frames_c9ce5ad95a96_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_ca339b2cac3c_img1.jpg,..\image_labeling\data\labeled\intact\frames_d3ae73efca85_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_ca339b2cac3c_img1.jpg,..\image_labeling\data\labeled\intact\frames_d3ae73efca85_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_ca339b2cac3c_img2.jpg,..\image_labeling\data\labeled\intact\frames_d3ae73efca85_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_ca339b2cac3c_img2.jpg,..\image_labeling\data\labeled\intact\frames_de1a7a8de3a3_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_caff44c06442_img1.jpg,..\image_labeling\data\labeled\intact\frames_caff44c06442_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_caff44c06442_img1.jpg,..\image_labeling\data\labeled\intact\frames_caff44c06442_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_caff44c06442_img2.jpg,..\image_labeling\data\labeled\intact\frames_caff44c06442_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_cbc95560c21f_img1.jpg,..\image_labeling\data\labeled\intact\frames_cbc95560c21f_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_cbc95560c21f_img1.jpg,..\image_labeling\data\labeled\intact\frames_cbc95560c21f_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_cbc95560c21f_img2.jpg,..\image_labeling\data\labeled\intact\frames_cbc95560c21f_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_cd0b793bd6d3_img1.jpg,..\image_labeling\data\labeled\intact\frames_cd0b793bd6d3_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_cd0b793bd6d3_img1.jpg,..\image_labeling\data\labeled\intact\frames_cd0b793bd6d3_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_cdffcbc540b4_img1.jpg,..\image_labeling\data\labeled\intact\frames_cdffcbc540b4_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_ce288a70d561_img2.jpg,..\image_labeling\data\labeled\intact\frames_ce288a70d561_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_d0a4364bfe3d_img1.jpg,..\image_labeling\data\labeled\intact\frames_d0a4364bfe3d_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_d0a4364bfe3d_img2.jpg,..\image_labeling\data\labeled\intact\frames_d0a4364bfe3d_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_d20489037f3c_img1.jpg,..\image_labeling\data\labeled\intact\frames_d20489037f3c_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_d20489037f3c_img1.jpg,..\image_labeling\data\labeled\intact\frames_e9ec8599acc1_img1.jpg,6
..\image_labeling\data\labeled\intact\frames_d20489037f3c_img2.jpg,..\image_labeling\data\labeled\intact\frames_e9ec8599acc1_img1.jpg,4
..\image_labeling\data\labeled\intact\frames_d20489037f3c_img3.jpg,..\image_labeling\data\labeled\intact\frames_e9ec8599acc1_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_d350e64a1d4f_img2.jpg,..\image_labeling\data\labeled\intact\frames_d350e64a1d4f_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_d350e64a1d4f_img2.jpg,..\image_labeling\data\labeled\irrelevant\frames_256b3a35511e_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_d350e64a1d4f_img3.jpg,..\image_labeling\data\labeled\irrelevant\frames_256b3a35511e_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_d3ae73efca85_img2.jpg,..\image_labeling\data\labeled\intact\frames_d3ae73efca85_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_d4b3555cc013_img1.jpg,..\image_labeling\data\labeled\intact\frames_d4b3555cc013_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_d80c2e52def9_img2.jpg,..\image_labeling\data\labeled\intact\frames_d80c2e52def9_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_d8d3ee79ca37_img2.jpg,..\image_labeling\data\labeled\intact\frames_d8d3ee79ca37_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_d95d8c303907_img1.jpg,..\image_labeling\data\labeled\intact\frames_d95d8c303907_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_d95d8c303907_img1.jpg,..\image_labeling\data\labeled\intact\frames_d95d8c303907_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_d95d8c303907_img2.jpg,..\image_labeling\data\labeled\intact\frames_d95d8c303907_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_d99fed2e5ed2_img1.jpg,..\image_labeling\data\labeled\intact\frames_d99fed2e5ed2_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_d99fed2e5ed2_img2.jpg,..\image_labeling\data\labeled\intact\frames_d99fed2e5ed2_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_da911e755216_img1.jpg,..\image_labeling\data\labeled\intact\frames_da911e755216_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_da911e755216_img2.jpg,..\image_labeling\data\labeled\intact\frames_da911e755216_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_da9839ae538b_img1.jpg,..\image_labeling\data\labeled\intact\frames_da9839ae538b_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_db08d18d88e3_img1.jpg,..\image_labeling\data\labeled\intact\frames_db08d18d88e3_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_db08d18d88e3_img1.jpg,..\image_labeling\data\labeled\intact\frames_db08d18d88e3_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_db08d18d88e3_img2.jpg,..\image_labeling\data\labeled\intact\frames_db08d18d88e3_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_dbff24d91bd1_img2.jpg,..\image_labeling\data\labeled\intact\frames_dbff24d91bd1_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_dd052a0f5214_img1.jpg,..\image_labeling\data\labeled\intact\frames_dd052a0f5214_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_dd74e51de212_img2.jpg,..\image_labeling\data\labeled\intact\frames_dd74e51de212_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_ddfd3acd549e_img1.jpg,..\image_labeling\data\labeled\intact\frames_ddfd3acd549e_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_ddfd3acd549e_img1.jpg,..\image_labeling\data\labeled\intact\frames_ddfd3acd549e_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_ddfd3acd549e_img2.jpg,..\image_labeling\data\labeled\intact\frames_ddfd3acd549e_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_df7f9135a60b_img1.jpg,..\image_labeling\data\labeled\intact\frames_df7f9135a60b_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_e016d29b0b90_img1.jpg,..\image_labeling\data\labeled\intact\frames_e016d29b0b90_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_e016d29b0b90_img1.jpg,..\image_labeling\data\labeled\intact\frames_e016d29b0b90_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_e016d29b0b90_img2.jpg,..\image_labeling\data\labeled\intact\frames_e016d29b0b90_img3.jpg,10
..\image_labeling\data\labeled\intact\frames_e02ca70b3304_img1.jpg,..\image_labeling\data\labeled\intact\frames_e02ca70b3304_img2.jpg,0
..\image_labeling\data\labeled\intact\frames_e02ca70b3304_img1.jpg,..\image_labeling\data\labeled\intact\frames_e02ca70b3304_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_e02ca70b3304_img2.jpg,..\image_labeling\data\labeled\intact\frames_e02ca70b3304_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_e18aa19ef31a_img1.jpg,..\image_labeling\data\labeled\intact\frames_e18aa19ef31a_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_e18aa19ef31a_img1.jpg,..\image_labeling\data\labeled\intact\frames_e18aa19ef31a_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_e18aa19ef31a_img2.jpg,..\image_labeling\data\labeled\intact\frames_e18aa19ef31a_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_e21b237d062c_img1.jpg,..\image_labeling\data\labeled\intact\frames_e21b237d062c_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_e354fc823c13_img2.jpg,..\image_labeling\data\labeled\intact\frames_e354fc823c13_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_e406294be264_img2.jpg,..\image_labeling\data\labeled\intact\frames_e406294be264_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_e4c5c047a5d3_img1.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_4d9c2526d10f_img1.jpg,10
..\image_labeling\data\labeled\intact\frames_e4c5c047a5d3_img1.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_e709010fb1e9_img1.jpg,10
..\image_labeling\data\labeled\intact\frames_e63804eb8045_img1.jpg,..\image_labeling\data\labeled\intact\frames_e63804eb8045_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_e63804eb8045_img1.jpg,..\image_labeling\data\labeled\intact\frames_e63804eb8045_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_e63804eb8045_img2.jpg,..\image_labeling\data\labeled\intact\frames_e63804eb8045_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_e6fed4c64715_img1.jpg,..\image_labeling\data\labeled\intact\frames_e6fed4c64715_img2.jpg,6
..\image_labeling\data\labeled\intact\frames_e6fed4c64715_img1.jpg,..\image_labeling\data\labeled\intact\frames_e6fed4c64715_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_e6fed4c64715_img2.jpg,..\image_labeling\data\labeled\intact\frames_e6fed4c64715_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_e762dcbbea96_img2.jpg,..\image_labeling\data\labeled\intact\frames_e762dcbbea96_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_e9775788c47c_img1.jpg,..\image_labeling\data\labeled\intact\frames_e9775788c47c_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_e9ec8599acc1_img2.jpg,..\image_labeling\data\labeled\intact\frames_e9ec8599acc1_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_eac16f15ed98_img1.jpg,..\image_labeling\data\labeled\intact\frames_eac16f15ed98_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_eac16f15ed98_img1.jpg,..\image_labeling\data\labeled\intact\frames_eac16f15ed98_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_eac16f15ed98_img2.jpg,..\image_labeling\data\labeled\intact\frames_eac16f15ed98_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_ead707afb0e9_img1.jpg,..\image_labeling\data\labeled\intact\frames_ead707afb0e9_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_ead707afb0e9_img2.jpg,..\image_labeling\data\labeled\intact\frames_ead707afb0e9_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img1.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img2.jpg,4
..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img1.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img2.jpg,..\image_labeling\data\labeled\intact\frames_ebaaff379c79_img3.jpg,0
..\image_labeling\data\labeled\intact\frames_edd57e4ea0b0_img2.jpg,..\image_labeling\data\labeled\intact\frames_edd57e4ea0b0_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_ee97c8370445_img1.jpg,..\image_labeling\data\labeled\intact\frames_ee97c8370445_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_ee97c8370445_img1.jpg,..\image_labeling\data\labeled\intact\frames_ee97c8370445_img3.jpg,6
..\image_labeling\data\labeled\intact\frames_ee97c8370445_img2.jpg,..\image_labeling\data\labeled\intact\frames_ee97c8370445_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_f0e09da603ae_img1.jpg,..\image_labeling\data\labeled\intact\frames_f0e09da603ae_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_f0e09da603ae_img2.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_13072dfc14f6_img1.jpg,10
..\image_labeling\data\labeled\intact\frames_f0e09da603ae_img2.jpg,..\image_labeling\data\labeled\irrelevant\raw_media_f8d3fc32b22a_img1.jpg,10
..\image_labeling\data\labeled\intact\frames_f12ba842e933_img1.jpg,..\image_labeling\data\labeled\intact\frames_f12ba842e933_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_f12ba842e933_img1.jpg,..\image_labeling\data\labeled\intact\frames_f12ba842e933_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_f12ba842e933_img1.jpg,..\image_labeling\data\labeled\intact\raw_media_f12ba842e933_img2.jpg,10
..\image_labeling\data\labeled\intact\frames_f12ba842e933_img2.jpg,..\image_labeling\data\labeled\intact\frames_f12ba842e933_img3.jpg,4
..\image_labeling\data\labeled\intact\frames_f12ba842e933_img3.jpg,..\image_labeling\data\labeled\intact\raw_media_f12ba842e933_img2.jpg,8
..\image_labeling\data\labeled\intact\frames_f26373bec7fa_img2.jpg,..\image_labeling\data\labeled\intact\frames_f26373bec7fa_img3.jpg,8
..\image_labeling\data\labeled\intact\frames_f2e31f17ad5f_img2.jpg,..\image_labeling\data\labeled\intact\frames_f2e31f17ad5f_img3.jpg,2
..\image_labeling\data\labeled\intact\frames_f4e8b39d8beb_img1.jpg,..\image_labeling\data\labeled\intact\frames_f4e8b39d8beb_img2.jpg,2
..\image_labeling\data\labeled\intact\frames_f6676331928b_img1.jpg,..\image_labeling\data\labeled\intact\frames_f6676331928b_img2.jpg,4
