"text","rating","date","image_urls","product_url","scraped_at"
"Nhập khẩu từ Nhật Bản, Dải keo rộng, Được gói riêng lẻ, Chất liệu siêu mềm, nhà mình xài loại này thay băng vệ sinh nên tiện lắm","5","1 week ago","https://lazvideo.lazcdn.com/psp/20260404/907aa8dc-bc06-4266-881f-1a259bfd121c@@ld.mp4?auth_key=1776780879-0-0-e8d885c2aacc0336e16891804e9b6d07|https://lzd-u.slatic.net/ea38fa02b498425d8e69172dbf719800_149399ae193d4be481168a4e06294e12.jpg","https://www.lazada.vn/products/pdp-i246452966-s316699339.html","2026-04-14T21:23:12.534324"
"tốt.","5","2026-02-11","https://lazvideo.lazcdn.com/psp/20260211/185228a0-ba83-425d-b59e-bae0a0439ac3@@ld.mp4?auth_key=1776780879-0-0-0c519a002c8a48cd343f323dda20e3b6|https://lzd-u.slatic.net/964eacedbee241089b206d8df3612a0d_3a7b60d4bb374f3384d7d0727068a2e6.jpg","https://www.lazada.vn/products/pdp-i246452966-s316699339.html","2026-04-14T21:23:12.534396"
"thay bvs vẫn ok nha","5","2025-11-29","https://lzd-u.slatic.net/cc9434e2de0a4af1be6264ac04d5e5e0_a72e39480ff14bff9136abfb839599c6.jpg|https://lzd-u.slatic.net/cc9434e2de0a4af1be6264ac04d5e5e0_1ee409285f0a4a999a47baa176098513.jpg","https://www.lazada.vn/products/pdp-i246452966-s316699339.html","2026-04-14T21:23:12.534408"
"Dải keo rộng, Chất liệu siêu mềm, Hoàn hảo cho trẻ sơ sinh, Giao hàng nhanh chóng và đáng tin cậy,","5","2025-11-15","https://lazvideo.lazcdn.com/psp/20251115/53218589-16ee-4b96-971b-274e625494ad@@ld.mp4?auth_key=1776780879-0-0-ad78edde2bcaa1bbd10ca36360a46788|https://lzd-u.slatic.net/a5aa8da0457049a4a423110b9349f9d1_89116aef45bf442a9b6ab9ea8d3ae500.jpg|https://lzd-u.slatic.net/a5aa8da0457049a4a423110b9349f9d1_921445fdf14f4653a0fa33771498c6a4.jpg","https://www.lazada.vn/products/pdp-i246452966-s316699339.html","2026-04-14T21:23:12.534418"
"tốt êm","5","2025-10-14","https://lazvideo.lazcdn.com/psp/20251014/fd243d41-0c81-481b-9825-d2d5a213b646@@ld.mp4?auth_key=1776780879-0-0-e63a6c84c6e4305d1c522037e6375728|https://lzd-u.slatic.net/294c7155f08046bd8707fff7852103e7_2_1760409652.422511.jpg","https://www.lazada.vn/products/pdp-i246452966-s316699339.html","2026-04-14T21:23:12.534423"
