"text","rating","date","image_urls","product_url","scraped_at"
"Đã đọc bản ebook,chọn mua ủng hộ sách giấy","5","2025-06-13","https://salt.tikicdn.com/ts/review/89/72/67/0462cb8b12a8695c7f59b07e9547451c.jpg","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318179"
"","5","2025-05-24","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318189"
"Sản phẩm sử dụng tốt, giao hàng đúng hẹn","5","2025-05-24","https://salt.tikicdn.com/ts/review/d0/93/54/847aeafc55c05bf5baad9b57a5859406.jpg","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318198"
"","5","2025-05-18","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318206"
"","5","2025-05-14","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318214"
"","5","2025-04-24","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318225"
"Rất hay","5","2025-04-17","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318235"
"Ok","5","2025-04-14","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318244"
"Hàng giao nhanh. Hàng chính hãng có tem đầy đủ, sách mới 100%. Nên mua","5","2025-04-11","https://salt.tikicdn.com/ts/review/6c/07/6a/d6663d3be05cdcf78041df1472aadfe2.jpg|https://salt.tikicdn.com/ts/review/c3/27/d6/a7ea61349dbd03e9e908d6bc2de2c453.jpg","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318254"
"","5","2025-04-09","","https://tiki.vn/sach-nguoi-giau-co-nhat-thanh-babylon-tai-ban-2020-p57325187.html?spid=57325188","2026-04-15T05:18:58.318262"
