"text","rating","date","image_urls","product_url","scraped_at"
"","5","2026-04-03","","https://tiki.vn/dien-thoai-samsung-galaxy-a36-5g-8gb-256gb-p277596856.html","2026-04-14T21:26:38.889872"
"Nội dung gần gũi, sách đẹp, giao hàng nhanh, đóng gói cẩn thận.","5","2026-03-12","","https://tiki.vn/dien-thoai-samsung-galaxy-a36-5g-8gb-256gb-p277596856.html","2026-04-14T21:26:38.889957"
"","5","2025-10-19","","https://tiki.vn/dien-thoai-samsung-galaxy-a36-5g-8gb-256gb-p277596856.html","2026-04-14T21:26:38.889971"
